variante,regla,precision,recall,f1,accuracy,roc_auc,pr_auc,TN,FP,FN,TP
RF individual (referencia cruzada),RF >= 0.5; objetivo sintético distinto de bot/human,1.0,0.2571428571428571,0.4090909090909091,0.5185185185185185,0.7172932330827068,0.889588461661806,19,0,26,9
Red aislada (ablación),0.5*red >= 0.35 O betweenness >= 0.08,1.0,0.14285714285714285,0.25,0.4444444444444444,0.825563909774436,0.8816126477581586,19,0,30,5
Fusión sin RF (sin renormalizar),0.5*red+0.1 >= 0.35 O betweenness >= 0.08,0.9090909090909091,0.2857142857142857,0.43478260869565216,0.5185185185185185,0.825563909774436,0.8816126477581586,18,1,25,10
Fusión sin red ni regla puente,0.3*RF+0.1 >= 0.35,0.0,0.0,0.0,0.35185185185185186,0.7172932330827068,0.889588461661806,19,0,35,0
Fusión sin auxiliar (sin renormalizar),0.3*RF+0.5*red >= 0.35 O betweenness >= 0.08,1.0,0.2857142857142857,0.4444444444444444,0.5370370370370371,0.9609022556390977,0.9632887012931546,19,0,25,10
Fusión completa corregida,0.3*RF+0.5*red+0.1 >= 0.35 O betweenness >= 0.08,0.9375,0.42857142857142855,0.5882352941176471,0.6111111111111112,0.9609022556390977,0.9632887012931546,18,1,20,15
