campaign,label,tweet_count,active_days,span_days,duplicate_text_fraction,hour_entropy,max_hour_fraction,tweets_per_active_day,retweet_fraction,reply_fraction,quote_fraction,mean_text_length,mean_hashtags,mean_urls,mean_user_mentions,mean_follower_count,mean_following_count,mean_account_age_days
honduras,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,140.0,2.0,0.0,1.0,356.0,643.0,2436.3909722222224
honduras,1,43.0,16.0,26.316319444444446,0.0,3.231270254607576,0.1944444444444444,2.5,0.8571428571428571,0.0730436991869918,0.0392156862745098,135.5664796633941,0.2,0.0434782608695652,1.313112745098039,0.0,10.0,20.94585978835979
uae,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,140.0,2.0,0.0,1.0,280.0,428.0,1695.8496527777777
uae,1,120.0,28.0,37.15347222222222,0.0,3.5885982284263283,0.1587301587301587,4.9,0.2615384615384615,0.0909090909090909,0.0662650602409638,113.61494252873564,1.3137254901960784,0.1235294117647058,0.5625,66.0,136.0,67.95400141117054
