experiment,description,n,positives,prevalence,threshold,precision,recall,f1,average_precision,roc_auc,false_positive_rate,accuracy,tn,fp,fn,tp
honduras_curado_interno,Honduras → Honduras (interno),44937,373,0.008300509602332154,0.37387721745053887,0.9428571428571428,0.9731903485254692,0.9577836411609498,0.9909754310017885,0.999873724399863,0.0004936720222601203,0.9992878919376015,44542,22,10,363
uae_curado_interno,UAE → UAE (interno),79795,398,0.004987781189297575,0.3760970159138625,0.9528535980148883,0.964824120603015,0.9588014981273408,0.9871968089317197,0.9986202217809707,0.00023930375203093317,0.9995864402531487,79378,19,14,384
honduras_curado_a_uae,Honduras → UAE (externo),398582,1991,0.004995208012403972,0.37387721745053887,0.925589836660617,0.5123053741838273,0.6595538312318138,0.7974468648848941,0.9851861535643195,0.0002067621302550991,0.9973581345871113,396509,82,971,1020
uae_curado_a_honduras,UAE → Honduras (externo),224293,1866,0.008319474972469047,0.3760970159138625,0.9218289085545722,0.334941050375134,0.4913522012578616,0.8190595457038439,0.9807688497204166,0.00023828042458874147,0.9942307606568195,222374,53,1241,625
conjunto_global,Modelo conjunto: prueba global,124575,771,0.006189042745334136,0.6477061118904458,0.9778085991678225,0.914396887159533,0.9450402144772118,0.9846450094881666,0.9978753130183056,0.00012923653516849214,0.9993417619907686,123788,16,66,705
conjunto_honduras,Modelo conjunto: prueba Honduras,44859,373,0.008314942374997214,0.6477061118904458,0.9792899408284024,0.8873994638069705,0.9310829817158931,0.978131548827555,0.9970023403452893,0.0001573528750618172,0.9989076885351881,44479,7,42,331
conjunto_uae,Modelo conjunto: prueba UAE,79716,398,0.004992724170806363,0.6477061118904458,0.9765013054830287,0.9396984924623115,0.9577464788732394,0.9911307830265111,0.9986714156526095,0.00011346730880758466,0.9995860304079482,79309,9,24,374
temporal_honduras,Temporal Honduras: cuentas nuevas,94749,667,0.007039652133531752,0.42676494179746766,0.9462540716612378,0.8710644677661169,0.907103825136612,0.9567039673217557,0.9956980731377048,0.0003507578495355116,0.99874405006913,94049,33,86,581
temporal_uae,Temporal UAE: cuentas nuevas,154868,9,5.811400676705323e-05,0.6254795698809774,0.36363636363636365,0.8888888888888888,0.5161290322580645,0.8919278252611587,0.999959102581488,9.040481986839641e-05,0.9999031433220549,154845,14,1,8
