campaign,signal,alpha_rf,alpha_network,n,positives,threshold,precision,recall,f1,average_precision,roc_auc,tn,fp,fn,tp
honduras,rf,,,44937,373,0.37387721745053887,0.9428571428571428,0.9731903485254692,0.9577836411609498,0.9909754310017885,0.999873724399863,44542,22,10,363
honduras,network,,,44937,373,0.3,0.9676258992805755,0.7211796246648794,0.82642089093702,0.7486458766658369,0.8763572371019008,44555,9,104,269
honduras,fusion,0.65,0.35,44937,373,0.24,0.9404145077720207,0.9731903485254692,0.9565217391304348,0.9899401443937774,0.999847915808887,44541,23,10,363
uae,rf,,,79795,398,0.3760970159138625,0.9528535980148883,0.964824120603015,0.9588014981273408,0.9871968089317197,0.9986202217809707,79378,19,14,384
uae,network,,,79795,398,0.005,0.5149863760217984,0.4748743718592965,0.49411764705882355,0.2971099909320413,0.7365080088908844,79219,178,209,189
uae,fusion,1.0,0.0,79795,398,0.37,0.9528535980148883,0.964824120603015,0.9588014981273408,0.9871968089317197,0.9986202217809707,79378,19,14,384
